DataLoader: found 20 files matching finewebedu10B/finewebedu_train_*.bin
/workspace/nanoGPT_1GPU_SPEEDRUN/train_gpt2_3060ti.py:307: UserWarning: The given buffer is not writable, and PyTorch does not support non-writable tensors. This means you can write to the underlying (supposedly non-writable) buffer using the tensor. You may want to copy the buffer to protect its data or make it writable before converting it to a tensor. This type of warning will be suppressed for the rest of this program. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:1581.)
  return torch.frombuffer(f.read(), dtype=torch.uint16)[256*2:]
DataLoader: found 1 files matching finewebedu10B/finewebedu_val_*.bin
Running in BF16 mode (no FP8 - RTX 3060 Ti)
Run ID: a99f82f1-58ad-45e4-9678-f42e8b823970
GPU: RTX 3060 Ti (8GB)
Config: batch_size=8, seq_len=12288, iters=7000
Tokens per step: 98,304
Total tokens: 688.1M
Val every 250 steps, checkpoint every 500 steps

Step	Loss	ValLoss	Time(ms)	kt/s	Window	ETA(m)
307	4.906		2772	35.5	256	309.3
308	4.781		2774	35.4	256	309.4
309	5.000		2774	35.4	256	309.4
310	5.000		2776	35.4	256	309.5
311	5.219		2773	35.4	256	309.2
312	4.969		2774	35.4	256	309.3
313	4.781		2774	35.4	256	309.3
314	4.719		2774	35.4	256	309.2
315	4.812		2772	35.5	256	308.9
316	4.938		2774	35.4	256	309.1
317	4.969		2776	35.4	256	309.3
318	4.812		2775	35.4	256	309.1
319	4.875		2773	35.4	256	308.8
320	4.969		2774	35.4	256	308.9
321	4.781		2786	35.3	256	310.1
322	5.125		2775	35.4	256	308.9
323	4.719		2774	35.4	256	308.8
324	5.031		2772	35.5	256	308.5
325	5.031		2773	35.5	256	308.5
326	4.938		2775	35.4	256	308.7
327	4.812		2772	35.5	256	308.3
328	4.688		2774	35.4	256	308.5
329	4.938		2776	35.4	256	308.7
330	5.156		2774	35.4	256	308.4
331	4.875		2777	35.4	256	308.8
332	5.031		2775	35.4	256	308.5
333	4.750		2775	35.4	256	308.4
334	4.969		2776	35.4	256	308.4
335	5.000		2773	35.5	256	308.1
336	5.062		2775	35.4	256	308.3
337	4.719		2776	35.4	256	308.3
338	5.125		2776	35.4	256	308.2
339	4.844		2773	35.5	256	307.8
340	4.844		2773	35.5	256	307.8
341	4.812		2774	35.4	256	307.9
342	4.906		2775	35.4	256	308.0
343	4.969		2772	35.5	256	307.6
344	4.750		2772	35.5	256	307.5
345	4.688		2773	35.5	256	307.6
346	4.812		2775	35.4	256	307.8
347	4.812		2776	35.4	256	307.8
348	5.031		2772	35.5	256	307.3
349	4.844		2773	35.5	256	307.4
350	4.875		2778	35.4	256	307.9
351	4.812		2778	35.4	256	307.9
352	4.938		2777	35.4	256	307.7
353	4.812		2773	35.4	256	307.3
354	4.812		2777	35.4	256	307.7
355	4.750		2775	35.4	256	307.4
356	4.906		2775	35.4	256	307.3
357	4.781		2775	35.4	256	307.2
358	5.031		2775	35.4	256	307.3
359	4.750		2774	35.4	256	307.1
360	5.375		2777	35.4	256	307.4
361	4.938		2776	35.4	256	307.2
362	4.906		2777	35.4	256	307.3
363	4.844		2773	35.5	256	306.8
364	4.906		2772	35.5	256	306.6
365	4.906		2775	35.4	256	306.9
366	4.938		2776	35.4	256	307.0
367	4.625		2774	35.4	256	306.7
368	4.812		2776	35.4	256	306.8
369	4.969		2775	35.4	256	306.8
370	4.719		2776	35.4	256	306.8
371	4.719		2779	35.4	256	307.0
372	4.875		2777	35.4	256	306.8
373	4.594		2775	35.4	256	306.6
374	4.844		2775	35.4	256	306.4
375	4.969		2778	35.4	256	306.8
376	4.500		2773	35.4	256	306.2
377	4.719		2773	35.5	256	306.1
378	4.656		2774	35.4	256	306.3
379	4.688		2776	35.4	256	306.4
380	4.781		2776	35.4	256	306.3
381	4.906		2776	35.4	256	306.3
382	4.656		2774	35.4	256	306.1
383	4.719		2777	35.4	256	306.3
384	4.875		2777	35.4	256	306.3
385	5.281		2774	35.4	256	305.9
386	4.812		2773	35.5	256	305.7
387	4.688		2777	35.4	256	306.1
388	4.969		2775	35.4	256	305.8
389	4.875		2775	35.4	256	305.8
390	4.656		2773	35.4	256	305.6
391	4.688		2775	35.4	256	305.7
392	4.688		2778	35.4	256	306.0
393	4.531		2776	35.4	256	305.7
394	4.938		2777	35.4	256	305.8
395	4.656		2776	35.4	256	305.6
396	4.812		2776	35.4	256	305.6
397	4.531		2775	35.4	256	305.5
398	4.844		2773	35.5	256	305.1
399	4.531		2773	35.5	256	305.1
400	4.531		2775	35.4	256	305.3
401	4.688		2776	35.4	256	305.3
402	4.625		2775	35.4	256	305.2
